initial: 864589772
864589772 * 5
322948832 * 3
968846496 * 1
968846496 * 5
844232452 * 4
376929787 * 1
376929787 * 2
753859574 * 7
277016983 * 3
831050949 * 2
662101891 * 1
662101891 * 4
648407550 * 2
296815093 * 7
77705637 * 8
621645096 * 3
864935281 * 6
189611651 * 1
189611651 * 2
379223302 * 5
896116503 * 2
792232999 * 1
792232999 * 2
584465991 * 7
91261909 * 2
182523818 * 8
460190537 * 3
380571604 * 1
380571604 * 6
283429610 * 1
283429610 * 3
850288830 * 6
101732945 * 3
305198835 * 3
915596505 * 1
915596505 * 1
915596505 * 6
493578995 * 4
974315973 * 3
922947905 * 1
922947905 * 1
922947905 * 1
922947905 * 2
845895803 * 2
691791599 * 1
691791599 * 1
691791599 * 7
842541165 * 7
897788120 * 5
488940572 * 1
488940572 * 1
488940572 * 1
488940572 * 4
955762281 * 2
911524555 * 5
557622747 * 2
115245487 * 5
576227435 * 8
609819452 * 5
49097239 * 2
98194478 * 1
98194478 * 2
196388956 * 4
785555824 * 5
927779099 * 3
783337283 * 4
133349111 * 4
533396444 * 5
666982206 * 3
946604 * 1
946604 * 1
946604 * 2
1893208 * 4
7572832 * 1
7572832 * 1
7572832 * 2
15145664 * 2
30291328 * 3
90873984 * 4
363495936 * 5
817479673 * 1
817479673 * 3
452439005 * 5
262195011 * 3
786585033 * 4
146340111 * 4
585360444 * 1
585360444 * 3
756081325 * 3
268243961 * 4
72975837 * 5
364879185 * 3
94637548 * 1
94637548 * 5
473187740 * 1
473187740 * 3
419563213 * 3
258689632 * 2
517379264 * 4
69517042 * 5
347585210 * 4
390340833 * 1
390340833 * 3
171022492 * 2
342044984 * 2
684089968 * 5
420449819 * 1
420449819 * 3
261349450 * 1
261349450 * 1
261349450 * 5
306747243 * 1
306747243 * 4
226988965 * 1
226988965 * 2
453977930 * 8
631823419 * 2
263646831 * 1
263646831 * 4
54587317 * 1
54587317 * 6
327523902 * 3
982571706 * 7
878001900 * 1
878001900 * 2
756003793 * 3
268011365 * 3
804034095 * 3
412102271 * 5
60511341 * 2
121022682 * 3
363068046 * 1
363068046 * 2
726136092 * 1
726136092 * 3
178408262 * 4
713633048 * 3
140899130 * 2
281798260 * 4
127193033 * 8
17544257 * 2
35088514 * 8
280708112 * 1
280708112 * 1
280708112 * 3
842124336 * 5
210621652 * 5
53108253 * 1
53108253 * 1
53108253 * 6
318649518 * 1
318649518 * 4
274598065 * 2
